IPv4 bytes,IPv4 pkts,IPv4 flows,Unique IPv4 addresses,Unique IPv4 source addresses,Unique IPv4 destination addresses,Unique IPv4 TCP source ports,Unique IPv4 TCP destination ports,Unique IPv4 UDP source ports,Unique IPv4 UDP destination ports
12015407346,17084088,996852,284756,124587,160612,58190,59826,18365,10595
22080557561,38249414,6667761,368229,86896,282101,65536,64499,24956,12988
13688605677,22465499,1176155,244277,104471,140305,63553,61577,14184,14416
9939483957,19879544,1166371,306865,82363,225243,59576,61520,20976,14136
22122799679,33665332,1864812,332537,85083,248190,59013,64141,41045,12436
5023333226,10028610,892526,174726,50085,124947,39055,65329,28596,14930
22579126776,35244026,2041506,372513,87606,285687,60524,64438,24251,12149
12292333057,20404739,974705,272200,123774,148842,56125,60484,14745,10779
22551122368,33558043,1811798,326140,83075,243820,60850,64136,42133,12274
4463549784,9415102,870200,169027,48913,120416,38499,65317,27504,14166
14739290620,39036755,1172647,243586,104513,139579,62453,61589,12361,21106
4042186352,7574005,597075,265452,52954,212627,47821,45055,16718,7306
23972545567,34821165,2016791,356684,83787,273700,59669,64576,22751,12965
10159799716,20604366,1196118,304195,83138,221839,60006,62458,20228,14663
12997554129,22723174,1223035,229679,111460,118773,63279,61177,13660,15002
13198132262,22610876,1215131,234240,121992,112752,62958,60921,14615,14855
12214372363,17607648,1007628,311458,122675,189233,55763,61215,15481,11384
